R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6999999999999999E-35,0.92,2700000.0,300000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.059,0.0,0.0,0.0,330000.0,1.0,5.0E8,
1.6999999999999999E-35,0.92,2700000.0,300000.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,9.2,0.23,0.23,0.0,35.0,0.036,0.0,0.0,0.0,300000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,52.0,0.53,0.53,0.0,35.0,0.029,0.0,0.0,0.0,290000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.099,0.0,0.0,0.0,270000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.072,0.0,0.0,0.0,260000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.066,0.0,0.0,0.0,260000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.071,0.0,0.0,0.0,260000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.084,0.0,0.0,0.0,270000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.1,0.0,0.0,0.0,270000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.13,0.0,0.0,0.0,290000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.17,0.0,0.0,0.0,300000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.19,0.0,0.0,0.0,300000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.12,0.0,0.0,0.0,280000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.096,0.0,0.0,0.0,270000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.095,0.0,0.0,0.0,270000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.065,0.0,0.0,0.0,250000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,52.0,0.53,0.53,0.0,35.0,0.054,0.0,0.0,0.0,250000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,52.0,0.53,0.53,0.0,35.0,0.054,0.0,0.0,0.0,250000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,52.0,0.53,0.53,0.0,35.0,0.043,0.0,0.0,0.0,240000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,52.0,0.53,0.53,0.0,35.0,0.036,0.0,0.0,0.0,230000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,52.0,0.53,0.53,0.0,35.0,0.037,0.0,0.0,0.0,230000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,52.0,0.53,0.53,0.0,35.0,0.043,0.0,0.0,0.0,240000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,52.0,0.53,0.53,0.0,35.0,0.053,0.0,0.0,0.0,250000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.069,0.0,0.0,0.0,260000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.091,0.0,0.0,0.0,270000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.12,0.0,0.0,0.0,280000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.12,0.0,0.0,0.0,280000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.08,0.0,0.0,0.0,260000.0,1.0,5.0E8,
2.8999999999999997E-35,5.2,2700000.0,350000.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,51.0,0.53,0.53,0.0,35.0,0.071,0.0,0.0,0.0,260000.0,1.0,5.0E8,
