entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
0.2815,0.3195,0.005407,0.004803,0.00324,0.01649,0.004022,5.698E-4,0.001035,0.00483,0.007213,0.9524,
0.2847,0.3098,0.005393,0.004804,0.003244,0.01646,0.00402,5.694E-4,0.001035,0.005102,0.007631,0.9517,
0.2848,0.3145,0.005341,0.004802,0.003247,0.01651,0.00402,5.694E-4,0.001035,0.005271,0.007463,0.9517,
0.2855,0.3142,0.005323,0.004812,0.003252,0.01649,0.004019,5.885E-4,0.001039,0.005322,0.007555,0.9516,
0.2853,0.3215,0.005323,0.00481,0.003194,0.01649,0.004019,5.885E-4,0.001039,0.00557,0.007306,0.9517,
0.2852,0.315,0.005313,0.00482,0.003194,0.01647,0.004019,5.885E-4,0.001039,0.005723,0.007154,0.9517,
0.2852,0.316,0.005313,0.004816,0.003197,0.01643,0.004019,5.885E-4,0.001058,0.005988,0.006869,0.9517,
0.2852,0.3193,0.00531,0.004814,0.003201,0.01643,0.004019,5.885E-4,0.001058,0.006226,0.006632,0.9517,
0.2852,0.3184,0.00531,0.004812,0.003203,0.01643,0.004019,5.885E-4,0.001058,0.006226,0.006632,0.9517,
0.2863,0.3156,0.005411,0.004803,0.003212,0.01643,0.004019,5.884E-4,0.001058,0.006347,0.006629,0.9515,
0.2863,0.3129,0.005399,0.004812,0.003215,0.01643,0.004019,5.884E-4,0.001082,0.006532,0.006419,0.9515,
0.2863,0.3189,0.005397,0.004809,0.00322,0.01643,0.004019,5.884E-4,0.001082,0.006759,0.006192,0.9515,
0.2868,0.3237,0.005388,0.00481,0.003226,0.01643,0.004031,5.761E-4,0.001119,0.006745,0.006255,0.9514,
0.287,0.3157,0.00531,0.004811,0.003231,0.01648,0.004031,5.759E-4,0.001329,0.00669,0.0061,0.9514,
0.287,0.3157,0.00531,0.004803,0.003239,0.01648,0.004043,5.876E-4,0.001305,0.006714,0.006076,0.9514,
0.2864,0.3192,0.005286,0.004814,0.003251,0.01646,0.004155,4.614E-4,0.00129,0.006951,0.005839,0.9515,
0.2874,0.3212,0.005285,0.004813,0.003251,0.01644,0.004155,4.68E-4,0.001381,0.006968,0.005912,0.9513,
0.289,0.3218,0.005275,0.00482,0.00325,0.01644,0.004154,4.678E-4,0.00138,0.007159,0.006046,0.951,
0.2889,0.3265,0.005269,0.004809,0.003266,0.01644,0.004192,4.296E-4,0.001399,0.00714,0.006046,0.951,
0.289,0.3259,0.005267,0.004802,0.003276,0.01644,0.004192,4.296E-4,0.001447,0.007092,0.006046,0.951,
0.2913,0.3158,0.005263,0.004793,0.003282,0.01643,0.004239,3.8E-4,0.001466,0.007223,0.006383,0.9505,
0.2915,0.306,0.005151,0.004785,0.003294,0.01653,0.004239,4.118E-4,0.001434,0.007314,0.006362,0.9505,
0.2915,0.3061,0.005141,0.004769,0.003319,0.01653,0.004263,4.07E-4,0.001414,0.007362,0.006315,0.9505,
0.2915,0.2907,0.005138,0.004764,0.003325,0.0165,0.004263,4.262E-4,0.001451,0.007424,0.006197,0.9505,
0.2916,0.2914,0.005133,0.004766,0.003329,0.0165,0.004263,4.453E-4,0.00148,0.007376,0.006197,0.9505,
0.2925,0.2919,0.005128,0.004766,0.003331,0.01649,0.004262,4.751E-4,0.00145,0.007399,0.006362,0.9503,
0.2923,0.2976,0.005096,0.00476,0.003342,0.0165,0.004232,4.751E-4,0.001493,0.007517,0.006201,0.9504,
0.293,0.2958,0.005045,0.004766,0.003349,0.01652,0.004247,4.788E-4,0.001497,0.007632,0.006243,0.9502,
0.2943,0.2973,0.005034,0.004765,0.003358,0.01651,0.004246,4.787E-4,0.001521,0.00769,0.00641,0.95,
0.2944,0.2976,0.005034,0.004754,0.003369,0.01651,0.004246,5.026E-4,0.001532,0.007655,0.00641,0.95,
0.2944,0.3017,0.005029,0.004753,0.003376,0.01651,0.004246,5.026E-4,0.001611,0.007951,0.006035,0.95,
0.2966,0.3028,0.005015,0.004753,0.003384,0.0165,0.004244,5.393E-4,0.001722,0.007852,0.00639,0.9496,
0.2966,0.3029,0.005012,0.004756,0.003384,0.0165,0.004244,5.584E-4,0.001703,0.007954,0.006287,0.9496,
0.2963,0.3113,0.004996,0.004762,0.003394,0.01651,0.004244,5.823E-4,0.001679,0.008239,0.005953,0.9496,
0.2963,0.3081,0.004978,0.004776,0.003398,0.01649,0.004244,5.823E-4,0.001679,0.008239,0.005953,0.9497,
0.2958,0.3033,0.004971,0.004782,0.003399,0.01645,0.004175,5.823E-4,0.00172,0.008198,0.005953,0.9498,
0.2957,0.2983,0.004958,0.004768,0.003406,0.01645,0.004175,5.823E-4,0.001757,0.008185,0.005929,0.9498,
0.2953,0.2997,0.004952,0.004769,0.003412,0.01645,0.004199,5.84E-4,0.001731,0.008275,0.005754,0.9499,
0.2952,0.3185,0.004866,0.004772,0.003415,0.01653,0.004199,5.84E-4,0.001731,0.008299,0.00573,0.9499,
0.2952,0.3111,0.00485,0.004784,0.003418,0.01653,0.004199,5.84E-4,0.001751,0.008375,0.005634,0.9499,
0.295,0.3097,0.004847,0.004777,0.00343,0.01651,0.004226,5.862E-4,0.001721,0.008443,0.005567,0.9499,
0.2987,0.31,0.00499,0.004772,0.003433,0.01662,0.004224,6.05E-4,0.00172,0.008785,0.00572,0.9491,
0.2985,0.3083,0.00498,0.004775,0.00344,0.01662,0.004174,6.394E-4,0.001686,0.008785,0.00572,0.9492,
0.3002,0.3085,0.004932,0.004792,0.003443,0.01664,0.004173,6.735E-4,0.001651,0.008782,0.006069,0.9488,
0.3012,0.3088,0.004928,0.004792,0.003444,0.01663,0.004172,7.077E-4,0.001635,0.008844,0.006194,0.9486,
0.3031,0.3173,0.004917,0.004785,0.003456,0.01663,0.00417,7.074E-4,0.001635,0.008975,0.006466,0.9483,
0.3027,0.3025,0.004744,0.004784,0.00346,0.01674,0.00417,7.07E-4,0.001635,0.009021,0.006419,0.9483,
0.3035,0.3103,0.004734,0.004792,0.003459,0.01674,0.00417,7.068E-4,0.001698,0.009326,0.006229,0.9481,
0.3035,0.304,0.004729,0.004788,0.003468,0.01674,0.00417,7.45E-4,0.00166,0.0094,0.006155,0.9481,
0.3035,0.2963,0.004724,0.004789,0.003472,0.01674,0.00417,7.45E-4,0.001692,0.009451,0.006071,0.9481,
0.3058,0.2941,0.004719,0.004789,0.00347,0.01673,0.004154,7.086E-4,0.001691,0.009494,0.00657,0.9477,
0.3078,0.2953,0.004539,0.004783,0.003474,0.0169,0.004152,7.32E-4,0.001666,0.009616,0.006925,0.9472,
0.3078,0.2969,0.004528,0.00479,0.003478,0.0169,0.004176,7.361E-4,0.001638,0.00964,0.006902,0.9472,
0.3075,0.3025,0.004525,0.004789,0.003481,0.01688,0.004216,7.144E-4,0.001619,0.01003,0.006509,0.9472,
0.3074,0.309,0.004514,0.00479,0.00349,0.01682,0.004216,7.738E-4,0.001584,0.01001,0.006509,0.9473,
0.3074,0.3037,0.004513,0.004788,0.003493,0.01682,0.004216,7.976E-4,0.00156,0.0101,0.006419,0.9473,
0.3104,0.3045,0.004509,0.004778,0.003499,0.01681,0.004229,0.00129,0.00107,0.01007,0.007024,0.9467,
0.3102,0.31,0.004433,0.004784,0.003502,0.01688,0.004229,0.001383,9.767E-4,0.01012,0.006977,0.9467,
0.31,0.3064,0.004419,0.004787,0.003509,0.01683,0.004229,0.001383,9.997E-4,0.01025,0.006824,0.9468,
0.3105,0.3078,0.00439,0.004784,0.003514,0.01685,0.004305,0.001307,0.001081,0.01017,0.00691,0.9467,
0.3113,0.3085,0.004371,0.004795,0.00352,0.01685,0.004304,0.001336,0.001075,0.01018,0.007048,0.9465,
0.3113,0.3091,0.004361,0.004791,0.003515,0.01685,0.004304,0.001365,0.001114,0.01028,0.006886,0.9465,
0.3113,0.308,0.004356,0.004789,0.003521,0.01685,0.004319,0.001405,0.001059,0.01028,0.006886,0.9465,
0.3113,0.3116,0.004352,0.004787,0.003528,0.01685,0.004319,0.00143,0.001071,0.01039,0.00674,0.9465,
0.3117,0.3123,0.004351,0.004777,0.003537,0.01685,0.004319,0.001454,0.001047,0.01057,0.006661,0.9464,
0.313,0.3117,0.004326,0.004766,0.003546,0.01685,0.004355,0.001415,0.001081,0.01057,0.006914,0.9462,
0.313,0.3131,0.004322,0.004767,0.003548,0.01685,0.004355,0.00143,0.001085,0.01062,0.006847,0.9462,
0.3131,0.3127,0.004318,0.004765,0.003555,0.01685,0.004355,0.001446,0.001117,0.01063,0.00679,0.9462,
0.3152,0.3112,0.004316,0.004757,0.003559,0.01684,0.004354,0.001445,0.001141,0.01067,0.007159,0.9458,
0.3176,0.3092,0.004311,0.004744,0.00355,0.01681,0.004351,0.001444,0.001199,0.01065,0.007663,0.9453,
0.3202,0.3062,0.004306,0.004739,0.003554,0.01681,0.004349,0.001444,0.00123,0.01061,0.008204,0.9448,
