RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
1449000.0,1203000.0,793600.0,4074000.0,1009000.0,129000.0,235900.0,962700.0,1967000.0,2.3999999999999997E8,
1413000.0,1203000.0,795100.0,4109000.0,1009000.0,129000.0,235900.0,984300.0,1945000.0,2.3999999999999997E8,
1413000.0,1201000.0,797400.0,4109000.0,1009000.0,129000.0,253600.0,966600.0,1945000.0,2.3999999999999997E8,
1398000.0,1202000.0,797900.0,4122000.0,1009000.0,140400.0,247000.0,1027000.0,1880000.0,2.3999999999999997E8,
1398000.0,1200000.0,800600.0,4122000.0,1009000.0,140400.0,247000.0,1066000.0,1841000.0,2.3999999999999997E8,
1395000.0,1203000.0,801400.0,4122000.0,1009000.0,140400.0,247000.0,1066000.0,1841000.0,2.3999999999999997E8,
1384000.0,1202000.0,802200.0,4132000.0,1009000.0,140400.0,263100.0,1085000.0,1806000.0,2.3999999999999997E8,
1431000.0,1204000.0,802200.0,4132000.0,1009000.0,140400.0,263100.0,1091000.0,1888000.0,2.3999999999999997E8,
1423000.0,1206000.0,802900.0,4132000.0,1016000.0,133700.0,263100.0,1101000.0,1878000.0,2.3999999999999997E8,
1405000.0,1209000.0,803800.0,4146000.0,1008000.0,142700.0,254100.0,1113000.0,1866000.0,2.3999999999999997E8,
1403000.0,1209000.0,806000.0,4141000.0,1008000.0,142700.0,254100.0,1165000.0,1813000.0,2.3999999999999997E8,
1400000.0,1209000.0,808200.0,4141000.0,1014000.0,143600.0,248100.0,1213000.0,1791000.0,2.3999999999999997E8,
1390000.0,1210000.0,812100.0,4141000.0,1014000.0,143600.0,248100.0,1213000.0,1814000.0,2.3999999999999997E8,
1382000.0,1210000.0,813500.0,4148000.0,1014000.0,143600.0,260900.0,1217000.0,1797000.0,2.3999999999999997E8,
1362000.0,1210000.0,816400.0,4155000.0,1014000.0,143600.0,260900.0,1217000.0,1817000.0,2.3999999999999997E8,
1360000.0,1211000.0,817900.0,4150000.0,1014000.0,143600.0,260900.0,1287000.0,1924000.0,2.3999999999999997E8,
1347000.0,1211000.0,818700.0,4163000.0,1014000.0,143600.0,260900.0,1329000.0,1882000.0,2.3999999999999997E8,
1343000.0,1214000.0,820100.0,4158000.0,1014000.0,148400.0,262100.0,1342000.0,1905000.0,2.3999999999999997E8,
1343000.0,1213000.0,805600.0,4158000.0,1014000.0,148400.0,262100.0,1405000.0,1843000.0,2.3999999999999997E8,
1340000.0,1215000.0,805500.0,4153000.0,1014000.0,148400.0,262100.0,1443000.0,1804000.0,2.3999999999999997E8,
1340000.0,1215000.0,806300.0,4144000.0,1014000.0,148400.0,266800.0,1510000.0,1732000.0,2.3999999999999997E8,
1339000.0,1214000.0,807300.0,4144000.0,1014000.0,148400.0,266800.0,1570000.0,1672000.0,2.3999999999999997E8,
1339000.0,1214000.0,807800.0,4144000.0,1014000.0,148400.0,266800.0,1570000.0,1672000.0,2.3999999999999997E8,
1365000.0,1211000.0,810100.0,4144000.0,1014000.0,148400.0,266800.0,1601000.0,1672000.0,2.3999999999999997E8,
1362000.0,1214000.0,810700.0,4144000.0,1014000.0,148400.0,272800.0,1647000.0,1619000.0,2.3999999999999997E8,
1361000.0,1213000.0,812000.0,4144000.0,1014000.0,148400.0,272800.0,1705000.0,1562000.0,2.3999999999999997E8,
1359000.0,1213000.0,813800.0,4144000.0,1017000.0,145300.0,282200.0,1701000.0,1578000.0,2.3999999999999997E8,
1339000.0,1213000.0,814800.0,4158000.0,1017000.0,145300.0,335200.0,1687000.0,1538000.0,2.3999999999999997E8,
1339000.0,1211000.0,816800.0,4158000.0,1020000.0,148200.0,329100.0,1693000.0,1532000.0,2.3999999999999997E8,
1333000.0,1214000.0,820100.0,4153000.0,1048000.0,116400.0,325300.0,1753000.0,1473000.0,2.3999999999999997E8,
1333000.0,1214000.0,820100.0,4148000.0,1048000.0,118100.0,348300.0,1758000.0,1491000.0,2.3999999999999997E8,
1331000.0,1216000.0,820100.0,4148000.0,1048000.0,118100.0,348300.0,1807000.0,1526000.0,2.3999999999999997E8,
1330000.0,1214000.0,824300.0,4148000.0,1058000.0,108400.0,353100.0,1802000.0,1526000.0,2.3999999999999997E8,
1329000.0,1212000.0,826700.0,4148000.0,1058000.0,108400.0,365200.0,1790000.0,1526000.0,2.3999999999999997E8,
1329000.0,1210000.0,828600.0,4148000.0,1070000.0,95950.0,370000.0,1824000.0,1612000.0,2.3999999999999997E8,
1301000.0,1208000.0,831700.0,4175000.0,1070000.0,104000.0,362000.0,1847000.0,1606000.0,2.3999999999999997E8,
1298000.0,1204000.0,838100.0,4175000.0,1076000.0,102800.0,357100.0,1859000.0,1594000.0,2.3999999999999997E8,
1297000.0,1203000.0,839600.0,4165000.0,1076000.0,107600.0,366400.0,1874000.0,1565000.0,2.3999999999999997E8,
1296000.0,1203000.0,840500.0,4165000.0,1076000.0,112400.0,373600.0,1862000.0,1565000.0,2.3999999999999997E8,
